v24_ruby_1gpu_wCM_01_fib,cc,0.074370947,2020-05-31 17:57:44 +0900
v24_ruby_1gpu_wCM_01_fib,elf_text_size,47,2020-05-31 17:57:44 +0900
v24_ruby_1gpu_wCM_01_fib,emu,1.221212342,2020-05-31 17:57:45 +0900
v24_ruby_1gpu_wCM_01_fib,num_cycles,57,2020-05-31 17:57:45 +0900
v24_ruby_1gpu_wCM_01_fib,genkey,0.006429232,2020-05-31 17:57:45 +0900
v24_ruby_1gpu_wCM_01_fib,genbkey,59.593482548,2020-05-31 17:58:45 +0900
v24_ruby_1gpu_wCM_01_fib,enc,1.376412703,2020-05-31 17:58:46 +0900
v24_ruby_1gpu_wCM_01_fib,run,102.850890555,2020-05-31 18:00:29 +0900
v24_ruby_1gpu_wCM_01_fib,dec,0.074633816,2020-05-31 18:00:29 +0900
v24_ruby_1gpu_wCM_01_fib,ctxt_size,50004086,2020-05-31 18:00:29 +0900
v24_ruby_1gpu_wCM_02_hamming,cc,0.072757227,2020-05-31 18:00:29 +0900
v24_ruby_1gpu_wCM_02_hamming,elf_text_size,280,2020-05-31 18:00:29 +0900
v24_ruby_1gpu_wCM_02_hamming,emu,1.299859234,2020-05-31 18:00:31 +0900
v24_ruby_1gpu_wCM_02_hamming,num_cycles,1216,2020-05-31 18:00:31 +0900
v24_ruby_1gpu_wCM_02_hamming,genkey,0.0062836,2020-05-31 18:00:31 +0900
v24_ruby_1gpu_wCM_02_hamming,genbkey,57.460101157,2020-05-31 18:01:28 +0900
v24_ruby_1gpu_wCM_02_hamming,enc,1.314884838,2020-05-31 18:01:29 +0900
v24_ruby_1gpu_wCM_02_hamming,run,2043.52701087,2020-05-31 18:35:33 +0900
v24_ruby_1gpu_wCM_02_hamming,dec,0.076321404,2020-05-31 18:35:33 +0900
v24_ruby_1gpu_wCM_02_hamming,ctxt_size,50004086,2020-05-31 18:35:33 +0900
v24_ruby_1gpu_wCM_03_bf,cc,0.078124401,2020-05-31 18:35:33 +0900
v24_ruby_1gpu_wCM_03_bf,elf_text_size,245,2020-05-31 18:35:33 +0900
v24_ruby_1gpu_wCM_03_bf,emu,2.642194022,2020-05-31 18:35:36 +0900
v24_ruby_1gpu_wCM_03_bf,num_cycles,2635,2020-05-31 18:35:36 +0900
v24_ruby_1gpu_wCM_03_bf,genkey,0.005696036,2020-05-31 18:35:36 +0900
v24_ruby_1gpu_wCM_03_bf,genbkey,56.845580738,2020-05-31 18:36:33 +0900
v24_ruby_1gpu_wCM_03_bf,enc,1.25868566,2020-05-31 18:36:34 +0900
v24_ruby_1gpu_wCM_03_bf,run,4438.431673834,2020-05-31 19:50:32 +0900
v24_ruby_1gpu_wCM_03_bf,dec,0.090314606,2020-05-31 19:50:32 +0900
v24_ruby_1gpu_wCM_03_bf,ctxt_size,50004086,2020-05-31 19:50:32 +0900
